post_number,date,type,caption,caption_length,likes,comments,video_views,engagement,url
1,2026-03-19 17:59:57,Video,"You are not your circumstances, past situation or current situation

You are what you choose to become, if you stop being a victim

I don’t know who needs to hear this today or in general

But I believe that anyone can do anything

You think the battle is with your business

You think the battle is with the market

You might even blame others for your circumstances

None of the above achieves anything…

You just are choosing who you want to become 

It might take a week, month, year or 10 years

But you have to make that choice

Or you will stay stuck

Fuck comparing to others

Become your own success story and source of inspiration",640,69,4,1666,73,https://www.instagram.com/p/DWE0VlNCK6t/
2,2026-03-20 08:27:45,Image,"This is a double-edged sword because when you’ve got ADHD you’ve often not got that much patience 

But if you genuinely take the time to understand how these systems work, I can’t begin to express what it can do for your business 

When you have ADHD, you run off dopamine and getting things done. When you are fully tapped into AI at the right type of level, you have an infinite amount of processes 

The only way that I could describe how I feel at the moment, with cracking through and breaking through into code, is that it feels like an addiction 

But an addiction in all of the best ways, in every way, shape and form because I can see the vision for where I can take my company without any limitations now 

But the good thing is I’ve just built out an easy step-by-step copy and paste SOP to replace what would be over £60,000 a month in staff wages 

And this is a new beginning for the coach consultant",915,34,1,0,35,https://www.instagram.com/p/DWGXpVUCOAM/
3,2026-03-20 18:11:23,Video,"How can you honestly not see how incredible things are now?

Anything is possible for anyone with AI - for anything

Information alone is slowly becoming less valuable

You are the new USP

Being you online isn’t just a recommendation

It’s what you need to do in order to stand out now

➡️➡️➡️ we have a x10 better natural qualification process to find YOUR people

You can just flow, talk and chat about things you are passionate about

Wait for the topics that land

Wait for the creative that clicks

People with 5,000 followers can and will build bigger businesses than those with 500,000 who have a stronger personal brand and better knowledge of AI",655,43,5,554,48,https://www.instagram.com/p/DWHaYL9iCgy/
4,2026-03-23 18:07:23,Sidecar,"Comment “PROJECTS” to have your mind literally blown ☺️

If you’re a solo-preneur you’re bottlenecking yourself and you’re not doing enough.

If you have a team, you’re not giving them enough time, resources, and systems to follow.

You could put one hundred businesses in front of me and I would be able to point out where all of them are bottle-necking themselves because they ain’t got enough time to do something properly

If you’re only using ChatGPT and you think AI is shit, I dare you to read that guide because you need to open your eyes 

If you’re currently using Claude, this will legitimately blow your mind at how little you are actually using it

Last week I built out a complete SOP for this system, which included every instruction, every bit of knowledge, every SOP and explanation known to man 

We will have the first ever solo billionaire in 2026 with a project set up like this and AI agents integrated 

And the funny thing is this is just projects… code takes it to a different league all together.

Comment “PROJECTS”",1042,127,681,0,808,https://www.instagram.com/p/DWPIZpwCFR9/
5,2026-03-21 17:57:51,Video,"Very successful Saturday, gymnastics this morning, Sunny walk around the lake with Jaxx and Nala, all the animals were fully out on show at the Yorkshire wildlife Park, finished the gelato ice cream ♥️",201,68,1,1126,69,https://www.instagram.com/p/DWJ9cYvCPrJ/
6,2026-01-19 17:34:47,Video,"- www.thecoachconsultant.uk / what you see, is what you get

About Me

▪️Background
▪️Experience 
▪️Story

Our Programs

▪️SmartScaling
▪️Propel Program
▪️TCC Titans

2026 Online / In-Person Events

▪️6 x Business Events
▪️6 x Socials - Challenges

Client Wins

▪️Testimonials 
▪️Feedback 
▪️Case Studies

50/50 Book

▪️Book & Audio-book
▪️Chapters

YouTube

▪️Live Consults Eps
▪️Client Podcasts Eps
▪️Vlog Series Eps
▪️Education Eps

Podcast 

▪️Spotify Eps

Daily Emails

▪️Whats Included

Blog

▪️Weekly Blogs
▪️Free Resources

Hope to see you inside 👋🏻",557,36,1,867,37,https://www.instagram.com/p/DTs1qbWCEEU/
7,2026-03-23 10:36:29,Sidecar,"Big Bobby doing the business - @coachedbybobby 

Extending the facility downstairs after performance of Open Gym membership 

Gym location two is also on the horizon, which I can see happening in the next six months 

Full website overhaul 

Monthly content and email marketing campaigns 

Now hiring administration and executive assistant team to free up founder time 

Bobby is not tech savvy in any way, shape or form and is the first person to admit that 

But he’s done the work and now he’s going to reap the reward 

You know where we’re at 🤝",549,10,0,0,10,https://www.instagram.com/p/DWOUzKfiBo2/
8,2026-03-21 10:11:56,Video,"If you have a vision for it, you can do anything now

But you have to actually want to do it in the first place

This is why I find this era so exciting

If you want it, you can do it

If you have the patience, you can do it

But yeah, I see many people stuck in their ways and complaining about not making progress

That all start with your own standards

The kind of stuff that you work on when no one’s looking

It’s the part that generates momentum for everything else

Stop cheating your own potential",506,46,1,926,47,https://www.instagram.com/p/DWJH4pGiE18/
9,2026-03-16 18:05:15,Video,"The Walk Out | 15th August 2026 - Men, Women & Children

In collaboration with @toms.talks__ & @walktalkmensclub 

We also have 30+ confirmed support partners (and growing) who you’ll see on the walk & talk page over the coming months.

Originally the plan was mission 100, which would mean £10,000 invested back into the community but we want to blow that figure out of the water.

I’m not asking for a single penny from you, just your support and attendance on the day if you can make it - or share into relevant groups.

I’ll be funding everything needed for the 15th, alongside the plan to host a mens retreat in the Lake District in 2027 with all expenses covered.

This event isn’t just to talk about it, it’s to stand up and fight against it.

To show every man who is silently struggling that he is not alone.

To remind fathers, sons, brothers, partners, and friends that their lives matter.

To create a space where strength is redefined - not as silence, but as support.

On the 15th of August 2026, we walk together.

Men. Women. Children. Families. Communities. United as one.

We are walking for the men who feel they have to “be strong” in silence.

We are walking for the men who never made it home.

We are walking for the men who are still here but hurting behind closed doors.

Facebook event will be in my bio from now until the 15th, if you want the direct link just DM ‘Walk Out’ and if you want to join as a supporting partner for the day - just let me know.",1481,102,14,2123,116,https://www.instagram.com/p/DV9GbnXiKF0/
10,2026-03-11 17:54:16,Video,"If this this hits you hard, good because you are the person that needs to hear it

… this isn’t coming from a malicious place

I want the best for everyone in my community and on here, as that of that you need to get over your own shit

In the seconds, minutes, hours, weeks or even years you sit on what isn’t going well…

You are taking time and attention away from what could be going well if you just get over it and get on with it

As you climb higher those risks become greater and falls even harder, and you have to maintain this same mindset 

In my experience… this is the number one reason some business owners don’t get off the ground 

If has nothing to with strategy… it’s down to not doing enough because they are distracted by their own BS",754,35,1,528,36,https://www.instagram.com/p/DVwNQCvCBjp/
