Campaign Name,Delivered,Opened,Clicked,Unsubscribed,Complained,Permanent Failures,Temporary Failures,Replied,Revenue,Orders,Open Rate (%),Click Rate (%)
"BadBizAdvice | ""If they don't reply your message wasn't aggressive enough""",2480,1486,3,7,0,6,2,0,0,0,59.92,0.12
"BadBizAdvice | ""Just send more DMs volume always wins""",2454,1460,25,9,0,5,5,0,9116.1,2,59.49,1.02
"BadBizAdvice | ""Let AI write it your audience won't notice""",2600,1521,3,6,0,10,1,1,0,0,58.5,0.12
" BadBizAdvice | ""More content fixes weak positioning""",2525,1472,6,6,0,7,4,1,0,0,58.3,0.24
"BadBizAdvice | ""If it sounds generic it appeals to more people""",2500,1452,3,10,0,9,3,0,0,0,58.08,0.12
"#theGAPyoumiss | ""I'll learn AI when I have more time""",2500,1404,5,6,0,10,1,2,0,0,56.16,0.2
"BadBizAdvice | ""Sales come from pressure not clarity""",2574,1437,1,7,0,8,1,0,0,0,55.83,0.04
Abusive DMs Damage Personal Brands,2480,1320,8,9,0,5,4,0,0,0,53.23,0.32
"#theGAPyoumiss | ""Good people shouldn't have to sell""",2483,1316,2,9,0,12,3,0,2101.5,1,53,0.08
"BadBizAdvice | ""Engagement matters more than intent""",346,178,1,2,0,0,1,0,0,0,51.45,0.29
Why Being Visible Still Does Not Pay,2465,1247,8,4,0,10,2,0,0,0,50.59,0.32
Why Most People Are Using AI in the Worst Way Possible,2523,1257,4,3,0,10,3,0,0,0,49.82,0.16
What this week taught me about momentum,2599,1288,10,11,0,4,7,0,0,0,49.56,0.38
What Actually Makes People Trust You at Scale,2426,1200,1,2,0,13,2,2,0,0,49.46,0.04
" BadBizAdvice | ""Niche later money first""",2505,1234,1,3,0,10,3,1,0,0,49.26,0.04
 Simplify To Amplify Everything In Business,2499,1229,6,5,0,10,2,1,0,0,49.18,0.24
"BadBizAdvice | ""Trying to sell to everyone keeps options open""",2446,1191,1,3,0,5,1,0,0,0,48.69,0.04
"BadBizAdvice | ""If it's educational it'll eventually convert""",2504,1215,6,3,0,9,4,0,0,0,48.52,0.24
Next week is already sorted,2628,1272,3,5,0,1,7,0,0,0,48.4,0.11
" BadBizAdvice | ""Discounting is just smart marketing""",2517,1214,1,11,0,9,1,0,0,0,48.23,0.04
"BadBizAdvice | ""Short term wins beat long term trust""",2488,1188,6,7,0,4,1,0,0,0,47.75,0.24
"BadBizAdvice | ""Authority is built by posting more tips""",2592,1234,4,5,0,10,4,0,0,0,47.61,0.15
 I stopped doing what everyone recommends,2640,1255,2,6,0,2,0,1,0,0,47.54,0.08
"BadBizAdvice | ""Your offer should fit as many people as possible""",2587,1227,1,6,0,10,107,1,0,0,47.43,0.04
North Star Business Objectives,2545,1204,5,2,0,8,1,0,2101.5,1,47.31,0.2
"BadBizAdvice | ""Chase trends alignment can wait""",2559,1207,1,2,0,8,2,1,0,0,47.17,0.04
"BadBizAdvice | ""If it worked for them copy it exactly""",2534,1188,2,5,0,6,1,1,467,1,46.88,0.08
One small shift made a big difference,2656,1238,26,7,0,2,3,0,2101.5,1,46.61,0.98
The leverage point nobody talks about,2632,1219,29,8,0,5,2,0,0,0,46.31,1.1
" ""You don't need brand just tactics""",2510,1158,2,8,0,9,4,0,0,0,46.14,0.08
